,experimentScenarioNo,parameters,nmrOfStockOuts,lostSales,serviceLevel,totalInventoryCosts
20,20,continuous/4/40/100,3.54,29.28,96.46,2285.088
32,32,periodic/2/50/100,0.14,1.14,99.86,3865.640000000001
35,35,periodic/2/60/100,0.2,1.1,99.8,3874.458
