,experimentScenarioNo,parameters,nmrOfStockOuts,lostSales,serviceLevel,totalInventoryCosts
20,20,continuous/4/40/100,4.36,39.36,95.64,2301.0200000000004
29,29,periodic/2/40/100,0.16,1.12,99.84,3871.486
