,experimentScenarioNo,parameters,nmrOfStockOuts,lostSales,serviceLevel,totalInventoryCosts
11,11,continuous/3/40/100,2.2,19.66,95.6,1124.838
29,29,periodic/2/40/100,0.1,0.76,99.8,1906.028
